State,Bachelor's Degree or Higher by State,High School Graduate or Higher by State
Alabama,27.8,88
Alaska,31.9,93.7
Arizona,33,89.1
Arkansas,24.9,88.2
California,36.9,84.4
Colorado,44.2,92.7
Connecticut,42.4,91.6
Delaware,34.7,91
District of Columbia,63.6,93.8
Florida,33.7,89.6
Georgia,34.8,89.3
Hawaii,35.5,93.3
Idaho,30.9,91.3
Illinois,37.6,90.4
Indiana,28.9,90.2
Iowa,29.5,93.1
Kansas,35.1,91.8
Kentucky,27.4,88.7
Louisiana,27.2,86.9
Maine,33.5,93.6
Maryland,43.1,91.1
Massachusetts,46.9,91.3
Michigan,32.1,92
Minnesota,37.9,93.8
Mississippi,24.5,86.8
Missouri,31.9,91.4
Montana,34.6,94.4
Nebraska,33.3,91.9
Nevada,28,87.2
New Hampshire,40.2,94.1
New Jersey,43.1,90.9
New Mexico,30.1,87.8
New York,39.5,87.8
North Carolina,34.8,90.3
North Dakota,31.8,93.5
Ohio,30.6,91.5
Oklahoma,27,89.2
Oregon,36.3,91.9
Pennsylvania,34,91.6
Rhode Island,38,90.1
South Carolina,31.7,89.4
South Dakota,28.4,92.2
Tennessee,30.7,89.7
Texas,33.2,85.8
Utah,36.9,94
Vermont,42.1,94.2
Virginia,42,91.4
Washington,38.4,92.1
West Virginia,23.1,89.1
Wisconsin,31.8,93.1
Wyoming,28.2,93.8