State,Percentage
Alabama,13.9
Alaska,11.8
Arizona,10.4
Arkansas,14.1
California,10.6
Colorado,9.4
Connecticut,9.8
Delaware,8.5
District of Columbia,14.6
Florida,12.4
Georgia,12.7
Hawaii,9.7
Idaho,8.1
Illinois,8.6
Indiana,11.1
Iowa,9.3
Kansas,9.3
Kentucky,13.8
Louisiana,16.7
Maine,9.2
Maryland,8.1
Massachusetts,8.0
Michigan,10.6
Minnesota,7.0
Mississippi,18.4
Missouri,10.0
Montana,10.3
Nebraska,8.5
Nevada,11.7
New Hampshire,4.9
New Jersey,7.2
New Mexico,15.9
New York,12.1
North Carolina,13.2
North Dakota,9.4
Ohio,12.5
Oklahoma,13.2
Oregon,8.8
Pennsylvania,9.7
Rhode Island,8.8
South Carolina,14.2
South Dakota,11.1
Tennessee,13.1
Texas,12.5
Utah,7.4
Vermont,8.6
Virginia,8.3
Washington,7.6
West Virginia,14.0
Wisconsin,8.2
Wyoming,9.5